"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","SPOTIFY_PLAYLIST_LINK","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","id_genre","id_genre_perc","genre_correct","id_decade","id_decade_perc","decade_correct","id_location","id_location_perc","freq_context_words"
"42","Ambient_HIGH_08","Ambient","High","A Walk","Tycho",NA,"2011","no",NA,00:00:03,00:00:33,"https://open.spotify.com/playlist/5c6LOkFfr7t49hCzFBmGCW?si=8f858c3d9ddb48a5",8,2,1,1.33333333333333,0.577350269189626,1.33333333333333,0.577350269189626,3.66666666666667,1.52752523165195,3.33333333333333,0.577350269189626,2,0,2,"Ambient",66.6666666666667,66.6666666666667,"1980s, 1990s, 2000s",33.3333333333333,0,"Europe",66.6666666666667,""
"43","Ambient_HIGH_09","Ambient","High","Candles","Jon Hopkins",NA,"2010","no",NA,00:00:00,00:00:30,NA,9,2.6,0.894427190999916,1.2,0.447213595499958,1.4,0.547722557505166,2.2,0.836660026534076,2.8,0.447213595499958,1.8,0.447213595499958,2,"Ambient",55.5555555555556,100,"1980s",40,20,"Europe, USA_Canada",40,""
"44","Ambient_HIGH_10","Ambient","High","Don't Bother They're Here","Stars Of The Lid",NA,"2007","no",NA,00:00:00,00:00:30,NA,10,3,0.816496580927726,1,0,2,0.816496580927726,3.25,0.957427107756338,3,0.816496580927726,1.75,0.5,2,"Ambient",75,100,"2010s",50,25,"Europe",100,""
"45","Ambient_HIGH_11","Ambient","High","Free","Miracle Tones",NA,"2022","no",NA,00:00:00,00:00:30,NA,11,2.66666666666667,1.15470053837925,1,0,1,0,2.66666666666667,1.52752523165195,2.66666666666667,1.52752523165195,1.33333333333333,0.577350269189626,2,"Ambient",100,100,"1990s, 2000s, 2020s",33.3333333333333,33.3333333333333,"USA_Canada",100,""
"46","Ambient_HIGH_12","Ambient","High","Interloper","Carbon Based Lifeforms",NA,"2010","no",NA,00:00:00,00:00:30,NA,12,2.75,1.70782512765993,1,0,1.75,0.5,2,2,2.25,0.5,2.5,1,2,"Electronic",60,0,"2010s",50,50,"USA_Canada",75,""
"47","Ambient_HIGH_13","Ambient","High","snowfall","Øneheart, reidenshi",NA,"2022","no",NA,00:00:00,00:00:30,NA,13,3.8,1.09544511501033,2.6,2.19089023002066,1.4,0.547722557505166,3.6,1.34164078649987,2.6,0.547722557505166,1.4,0.894427190999916,2,"Ambient, Film",33.3333333333333,40,"2000s, pre1960",40,0,"Europe",60,""
"48","Ambient_HIGH_14","Ambient","High","Sweden","C418","Minecraft","2011","no",NA,00:00:00,00:00:30,NA,14,3,1.73205080756888,1.66666666666667,1.15470053837925,2,1,3,1.73205080756888,2.66666666666667,1.52752523165195,1.66666666666667,1.15470053837925,2,"Ambient",50,66.6666666666667,"1980s, 2000s, 2020s",33.3333333333333,0,"Europe",66.6666666666667,""
"49","Ambient_LOW_15","Ambient","Low","Dulcamara","Duet for Theremin and Lap Steel",NA,"2016","no",NA,00:00:00,00:00:30,"https://open.spotify.com/playlist/2dzjuFdj7zjwz8XvzifwqU?si=9192a47bc9914edb",15,3.8,1.09544511501033,1.8,1.09544511501033,2.2,0.447213595499958,4,1,3.4,0.547722557505166,2.2,0.836660026534076,1,"Ambient",42.8571428571429,60,"2000s",60,0,"Europe",80,""
"50","Ambient_LOW_16","Ambient","Low","Everlasting Dreams - Calm's Still Dreaming Mix","KENKOU, Calm",NA,"2020","no",NA,00:00:00,00:00:30,NA,16,4,1,2.33333333333333,2.3094010767585,3.33333333333333,1.52752523165195,4,1,4,1,2.66666666666667,1.15470053837925,1,"Ambient",75,100,"2010s",66.6666666666667,0,"Europe",66.6666666666667,""
"51","Ambient_LOW_17","Ambient","Low","Fantasy & Reason","Palantir",NA,"2000","no",NA,00:00:00,00:00:30,NA,17,2.5,1,1,0,2.75,0.957427107756338,3.25,0.5,3,0,3,0,1,"Electronic",42.8571428571429,25,"2000s",50,50,"Europe",75,""
