"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"164","Film_MED_11","Film","Medium","The Strangers Prey At Night","Adrian Johnston","The Strangers Prey At Night","2018","no",NA,00:00:00,00:00:30,11,3.2,0.447213595499958,1.8,0.836660026534076,2.6,0.894427190999916,3.4,0.894427190999916,3.4,0.894427190999916,3,0.707106781186548,3,"Film",60,60,"1970s, 1980s, 1990s, 2000s, 2010s",20,20,"Europe, USA_Canada",40,"autobioMedia",60,""
"165","Film_MED_12","Film","Medium","The world is amazed - Main Title Theme","Rolfe Kent","Downsizing","2017","no",NA,00:00:00,00:00:30,12,4.25,0.5,1,0,2,0.816496580927726,2.75,1.70782512765993,3.75,1.89296944860009,3.5,1,3,"Film",100,100,"1970s, 1980s, 1990s, 2020s",25,0,"USA_Canada",100,"autobioMedia",50,""
"166","Film_MED_13","Film","Medium","Tinker Tailor Soldier Spy","Alberto Iglesias","Tinker Tailor Soldier Spy","2011","no",NA,00:00:00,00:00:30,13,3.66666666666667,1.15470053837925,2,1.73205080756888,3,1,4,1,3.33333333333333,0.577350269189626,3,1,3,"Classical",50,33.3333333333333,"pre1960",66.6666666666667,33.3333333333333,"Europe",66.6666666666667,"autobioLife, fictional, music",66.6666666666667,""
"167","Film_MED_14","Film","Medium","Welcome To The Army","Hans Zimmer","Renaissance Man","1994","no",NA,00:00:00,00:00:30,14,2.8,0.836660026534076,1.2,0.447213595499958,1.6,0.547722557505166,3,0,3,0,1.6,0.547722557505166,2,"Film",57.1428571428571,80,"2010s",60,40,"USA_Canada",100,"music",60,""
"168","Folk_HIGH_08","Folk","High","Flightless Bird, American mouth","Iron & Wine",NA,"2007","yes","""ooo""",00:02:35,00:03:05,8,2.6,0.547722557505166,1,0,1.2,0.447213595499958,2.8,1.30384048104053,3.2,0.447213595499958,2.4,0.894427190999916,2,"Film, Pop",33.3333333333333,0,"1960s, 1970s, 1980s, 1990s, 2000s",20,20,"USA_Canada",80,"autobioMedia, music",60,""
"169","Folk_HIGH_09","Folk","High","Little Lion Man","Mumford & Sons",NA,"2009","yes","""ah""",00:02:20,00:02:50,9,3,1.4142135623731,2,1.4142135623731,2.5,0.577350269189626,3.25,0.957427107756338,3.5,1,3.25,0.957427107756338,3,"Folk, Pop",40,50,"1990s",50,25,"Europe",75,"music",50,""
"170","Folk_HIGH_10","Folk","High","Mr. Tambourine Man","Bob Dylan",NA,"1965","no",NA,00:03:24,00:03:54,10,3.5,1,1.5,1,1.25,0.5,3.5,1.29099444873581,3.5,1.29099444873581,3,1.4142135623731,3,"Folk",80,100,"1970s",75,25,"USA_Canada",100,"autobioLife, autobioMedia, music",50,""
"171","Folk_HIGH_11","Folk","High","Mrs. Robinson","Simon & Garfunkel","Forrest Gump","2001","yes","""dee"", ""doo""",00:00:00,00:00:30,11,4.4,0.894427190999916,4.4,1.34164078649987,2.2,0.836660026534076,4.4,0.894427190999916,4.2,0.836660026534076,3,0.707106781186548,1,"Pop",37.5,20,"1960s",80,0,"USA_Canada",60,"autobioMedia",60,""
"172","Folk_HIGH_12","Folk","High","Nantes","Beirut",NA,"2007","no",NA,00:01:12,00:01:42,12,3.25,0.957427107756338,1,0,1.5,0.577350269189626,4.25,0.957427107756338,4,0.816496580927726,3.5,0.577350269189626,3,"Film",80,25,"2010s",75,0,"Africa, Australia, Latin_SouthAm, USA_Canada",25,"fictional",75,""
"173","Folk_HIGH_13","Folk","High","Road","Nick Drake",NA,"1972","no",NA,00:00:00,00:00:30,13,3.33333333333333,1.15470053837925,2,1.73205080756888,1.66666666666667,0.577350269189626,4.33333333333333,1.15470053837925,4,1,3,1,3,"Folk",50,66.6666666666667,"1960s, 1980s, 2010s",33.3333333333333,0,"USA_Canada",66.6666666666667,"autobioLife, music",66.6666666666667,""
