CLIP_NAME,GENRE,FAMILIARITY,TRACK_TITLE,ARTIST,MEDIA_RELATION_or_PERFORMER,RELEASE_DATE,VOCALISATION,VOCALISATION_TYPE,CLIP_TIME_START,CLIP_TIME_END,SPOTIFY_PLAYLIST_LINK
Electronic_LOW_11,Electronic,Low,Memoria,Spring In A Small Town,,2020,yes,"""ha"", ""yah"", (bird noise)",00:02:00,00:02:30,
Electronic_LOW_12,Electronic,Low,Reckless Heart,Continues,,2012,no,,00:00:00,00:00:30,
Electronic_LOW_13,Electronic,Low,Simplicity,Macroform,,2015,no,,00:00:00,00:00:30,
Electronic_LOW_14,Electronic,Low,Tape,Skip Cloud,,2013,no,,00:00:38,00:01:08,
Electronic_MED_15,Electronic,Medium,A Paw In My Face,The Field,,2007,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/4qsQmZ8WwxIUPkrEDXfU28?si=938ffe863269457d
Electronic_MED_16,Electronic,Medium,Bodies of Water,Cosmo Sheldrake,,2023,no,,00:00:14,00:00:44,
Electronic_MED_17,Electronic,Medium,Dumb Love,NEIL FRANCES,,2017,yes,"""ah"", ""oh""",00:02:43,00:03:13,
Electronic_MED_18,Electronic,Medium,Ghost Duet,Louie Zong,,2017,yes,"""ooo"", whistle",00:00:00,00:00:30,
Electronic_MED_19,Electronic,Medium,Looped,Kiasmos,,2014,no,,00:00:00,00:00:30,
Electronic_MED_20,Electronic,Medium,The Distance,Totally Enormous Extinct Dinosaurs,,2023,no,,00:04:21,00:04:51,
Electronic_MED_21,Electronic,Medium,Things Will Never Be There,JJ,,2009,no,,00:00:00,00:00:30,
Film_HIGH_15,Film,High,Journey To The Real World,Tame Impala,Barbie,2023,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/4myAkVBb9KS18ydXqDXqu6?si=db34283de8ae4f5e
Film_HIGH_16,Film,High,"Main Theme (From ""The Dark Knight Rises"")",Hans Zimmer,The Dark Knight Rises,2005-2012,no,,00:00:00,00:00:30,
Film_HIGH_17,Film,High,Star Wars (Main Theme),John Williams,Star Wars,1977-2023,no,,00:00:00,00:00:30,
Film_HIGH_18,Film,High,The Avengers,Alan Silvestri,Avengers,2008-2023,no,,00:00:00,00:00:30,
Film_HIGH_19,Film,High,The Glory Days,Michael Giacchino,The Incredibles,2004-2018,no,,00:00:00,00:00:30,
Film_HIGH_20,Film,High,Theme From Jurassic Park,John Williams,Jurassic Park,1993-2022,no,,00:01:09,00:01:39,
Film_HIGH_21,Film,High,Top Gun Anthem,Harold Faltermeyer,Top Gun Maverick,2022,no,,00:00:00,00:00:30,
Film_LOW_01,Film,Low,Hammer of the Gods: Opening Title,Benjamin Wallfisch,Hammer of the Gods,2013,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/5Sap2Fo8ltqrpU8tMwLtCD?si=cf874b959e224491
Film_LOW_02,Film,Low,Main Titles,Marius Ruhland,Death of a Superhero,2012,no,,00:00:00,00:00:30,
Film_LOW_03,Film,Low,Samajavaragamana,Sid Sriram,Ala Vaikunthapurramuloo,2020,no,,00:01:27,00:01:57,
Film_LOW_04,Film,Low,The Streets of Miami,Christopher Hajian,Critical Thinking,2020,no,,00:00:00,00:00:30,
Film_LOW_05,Film,Low,Troy's Theme,We Are Dark Angels,Dog Eat Dog,2017,no,,00:00:00,00:00:30,
Film_LOW_06,Film,Low,Until Now,Jerome Dillon,Officer Down,2013,no,,00:00:00,00:00:30,
Film_LOW_07,Film,Low,Where Is My Dad,André Manoukian,Fonzy,2013,no,,00:00:00,00:00:30,
Film_MED_08,Film,Medium,Bob Wakes Up,David Newman,The Spy Next Door,2010,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/6jPgsiuL0UdlXj44wioStm?si=e0ad0a92c5534fd1
Film_MED_09,Film,Medium,Carolina,David Buckley,From Paris with Love,2010,no,,00:00:00,00:00:30,
Film_MED_10,Film,Medium,Hoffa Trailer,David Newman,Hoffa,1992,no,,00:00:00,00:00:30,
Film_MED_11,Film,Medium,The Strangers Prey At Night,Adrian Johnston,The Strangers Prey At Night,2018,no,,00:00:00,00:00:30,
Film_MED_12,Film,Medium,The world is amazed - Main Title Theme,Rolfe Kent,Downsizing,2017,no,,00:00:00,00:00:30,
Film_MED_13,Film,Medium,Tinker Tailor Soldier Spy,Alberto Iglesias,Tinker Tailor Soldier Spy,2011,no,,00:00:00,00:00:30,
Film_MED_14,Film,Medium,Welcome To The Army,Hans Zimmer,Renaissance Man,1994,no,,00:00:00,00:00:30,
Folk_HIGH_08,Folk,High,"Flightless Bird, American mouth",Iron & Wine,,2007,yes,"""ooo""",00:02:35,00:03:05,https://open.spotify.com/playlist/3niyv2eEp34cg8eQlrcz6r?si=66219695c3ef4a20
Folk_HIGH_09,Folk,High,Little Lion Man,Mumford & Sons,,2009,yes,"""ah""",00:02:20,00:02:50,
Folk_HIGH_10,Folk,High,Mr. Tambourine Man,Bob Dylan,,1965,no,,00:03:24,00:03:54,
Folk_HIGH_11,Folk,High,Mrs. Robinson,Simon & Garfunkel,Forrest Gump,2001,yes,"""dee"", ""doo""",00:00:00,00:00:30,
Folk_HIGH_12,Folk,High,Nantes,Beirut,,2007,no,,00:01:12,00:01:42,
Folk_HIGH_13,Folk,High,Road,Nick Drake,,1972,no,,00:00:00,00:00:30,
Folk_HIGH_14,Folk,High,Skinny Love,Bon Iver,,2008,no,,00:00:00,00:00:30,
Folk_LOW_15,Folk,Low,Jänese Õhkamine,Lepaseree,,2015,yes,"""hii!""",00:03:43,00:04:13,https://open.spotify.com/playlist/3iYxzEheYsOqGVU6aGcqOh?si=475d793e42994171
Folk_LOW_16,Folk,Low,Kız Senin,İsmail Altunsaray,,2011,no,,00:00:00,00:00:30,
Folk_LOW_17,Folk,Low,Lord Won’t Come,Nero Kane,,2020,no,,00:04:36,00:05:06,
Folk_LOW_18,Folk,Low,The Art of the Quickdraw,The Minor Canon,,2007,no,,00:00:00,00:00:30,
Folk_LOW_19,Folk,Low,The Big City,Mark Minelli,,2009,yes,"""woo"", ""ooo""",00:00:55,00:01:25,
Folk_LOW_20,Folk,Low,The Desmond Slides,Colm Murphy,,1996,no,,00:00:00,00:00:30,
Folk_LOW_21,Folk,Low,Winnetou-Melodie (Deep House Version),Story Of Dakota,,2016,no,,00:00:00,00:00:30,
Folk_MED_01,Folk,Medium,Ai de Mim,OUTROEU,,2017,yes,"""ooo"", ""hey""",00:02:53,00:03:23,https://open.spotify.com/playlist/4qzvU1eJO4mhR4oq1DBBIr?si=947ca63cb332412d
Folk_MED_02,Folk,Medium,Ben Her Zaman Sana Aşıktım,Kalben,,2017,yes,"""la""",00:02:20,00:02:50,
Folk_MED_03,Folk,Medium,Big Log,Robert Plant,,1983,no,,00:00:00,00:00:30,
Folk_MED_04,Folk,Medium,Dangerous,Joshua James,,2008,no,,00:00:00,00:00:30,
Folk_MED_05,Folk,Medium,Lopin’ Along thru the Cosmos - Remastered,Judee Sill,,1971,no,,00:01:31,00:02:01,
Folk_MED_06,Folk,Medium,Reunite,Isbells,,2009,no,,00:01:57,00:02:27,
Folk_MED_07,Folk,Medium,Seeds Of Night,The Cave Singers,,2008,no,,00:00:00,00:00:30,
Funk_HIGH_01,Funk,High,"""1999""",Prince,,1982,no,,00:00:12,00:00:42,https://open.spotify.com/playlist/69Zvw3K9dEvVrG5q99VqX6?si=f4c5ec18520246c4
Funk_HIGH_02,Funk,High,Dean Town,Vulfpeck,,2016,no,,00:00:00,00:00:30,
Funk_HIGH_03,Funk,High,Little L,Jamiroquai,,2001,no,,00:00:00,00:00:30,
Funk_HIGH_04,Funk,High,September,"Earth, Wind & Fire",,1978,yes,"""baa dee ya"", ""hey""",00:03:03,00:03:33,
Funk_HIGH_05,Funk,High,Simley Faces,Gnarls Barkely,,2006,yes,"""hey""",00:02:24,00:02:54,
Funk_HIGH_06,Funk,High,The Boss,James Brown,,1973,no,,00:02:33,00:03:03,
Funk_HIGH_07,Funk,High,Them Changes,Thundercat,,2017,yes,"""ooo"", ""la""",00:02:25,00:02:55,
Funk_LOW_08,Funk,Low,Better Days,Tony Aiken and Future 2000,,2008,yes,"""-ow"", ""ooo""",00:04:14,00:04:44,https://open.spotify.com/playlist/66S09vieoXK21DoCzVlCAL?si=e3e1d7b440014d1b
